service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
22DECAFF-72-Semaine-01,1,1,1,1,1,0,0,20230509,20230707
22DECAFF-72-Samedi-01,0,0,0,0,0,1,0,20230513,20230708
22DECAFF-72-Dimanche-01,0,0,0,0,0,0,1,20230514,20230709
22SEPB-UPCBus-Semaine-00,1,1,1,1,1,0,0,20230509,20230616
22SEPB-UPCBus-Samedi-00,0,0,0,0,0,1,0,20230513,20230708
22SEPB-UPCBus-Dimanche-04,0,0,0,0,0,0,1,20230514,20230709
22PVSB-UPC Bus-Semaine-00,1,1,1,1,1,0,0,20230519,20230707
23FEVW-A-D-Semaine-20,1,1,1,1,1,0,0,20230509,20230602
23FEVW-A-D-Samedi-02,0,0,0,0,0,1,0,20230513,20230708
23FEVW-A-D-Dimanche-00,0,0,0,0,0,0,1,20230514,20230709
23FEVW-A-D-Semaine-50,1,1,1,1,1,0,0,20230519,20230707
23FEVW-A-D-Dimanche-01,0,0,0,0,0,0,1,20230521,20230521
22SEPB-UPEBus-Semaine-20,1,1,1,1,1,0,0,20230509,20230616
22SEPB-UPEBus-Samedi-00,0,0,0,0,0,1,0,20230513,20230708
22SEPB-UPEBus-Dimanche-00,0,0,0,0,0,0,1,20230514,20230709
22PVSB-UPEBus-Semaine-03,1,1,1,1,1,0,0,20230519,20230707
23FEVW-B-F-Semaine-00,1,1,1,1,1,0,0,20230509,20230517
23FEVW-B-F-Samedi-00,0,0,0,0,0,1,0,20230513,20230708
23FEVW-B-F-Dimanche-20,0,0,0,0,0,0,1,20230514,20230514
23FEVW-B-F-Dimanche-00,0,0,0,0,0,0,1,20230518,20230709
23FEVW-B-F-Semaine-10,1,1,1,1,1,0,0,20230519,20230707
23FEVW-B-F-Semaine-15,1,1,1,1,1,0,0,20230522,20230526
23FEVW-B-F-Semaine-22,1,1,1,1,1,0,0,20230530,20230602
23FEVW-B-F-Semaine-16,1,1,1,1,1,0,0,20230605,20230609
22SEPB-UPKBus-Mardi-00,0,1,0,0,0,0,0,20230509,20230613
22SEPB-UPKBus-Semaine-00,1,1,1,1,1,0,0,20230510,20230616
22SEPB-UPKBus-Samedi-00,0,0,0,0,0,1,0,20230513,20230708
22SEPB-UPKBus-Dimanche-00,0,0,0,0,0,0,1,20230514,20230709
22PVSB-UPKBus-Semaine-01,1,1,1,1,1,0,0,20230519,20230707
22PVSB-UPKBus-Mardi-01,0,1,0,0,0,0,0,20230620,20230704
23FEVW-C-E-Semaine-00,1,1,1,1,1,0,0,20230509,20230526
23FEVW-C-E-Samedi-00,0,0,0,0,0,1,0,20230513,20230708
23FEVW-C-E-Dimanche-20,0,0,0,0,0,0,1,20230514,20230514
23FEVW-C-E-Semaine-22,1,1,1,1,1,0,0,20230515,20230517
23FEVW-C-E-Dimanche-00,0,0,0,0,0,0,1,20230518,20230709
23FEVW-C-E-Semaine-96,1,1,1,1,1,0,0,20230519,20230707
23FEVW-C-E-Semaine-18,1,1,1,1,1,0,0,20230530,20230602
22DECAFF-KEONAV-Semaine-28,1,1,1,1,1,0,0,20230509,20230707
22DECAFF-KEONAV-Samedi-12,0,0,0,0,0,1,0,20230513,20230708
22DECAFF-KEOREG-Semaine-02,1,1,1,1,1,0,0,20230509,20230707
22DECAFF-KEOREG-Samedi-02,0,0,0,0,0,1,0,20230513,20230708
22DECAFF-KEOREG-Dimanche-12,0,0,0,0,0,0,1,20230514,20230709
22SEPTAFF-60-Semaine-00,1,1,1,1,1,0,0,20230509,20230707
22SEPTAFF-60-Samedi-00,0,0,0,0,0,1,0,20230513,20230708
22DECAFF-18-Semaine-00,1,1,1,1,1,0,0,20230509,20230512
22DECAFF-18-Samedi-00,0,0,0,0,0,1,0,20230513,20230513
22DECAFF-18-Semaine-01,1,1,1,1,1,0,0,20230515,20230825
22DECAFF-18-Samedi-01,0,0,0,0,0,1,0,20230520,20230826
22DECAFF-71-Semaine-01,1,1,1,1,1,0,0,20230509,20230707
22DECAFF-73-Semaine-00,1,1,1,1,1,0,0,20230509,20230707
22DECAFF-74-Semaine-00,1,1,1,1,1,0,0,20230509,20230707
22DECAFF-74-Samedi-00,0,0,0,0,0,1,0,20230513,20230708
22DECAFF-74-Dimanche-00,0,0,0,0,0,0,1,20230514,20230709
22DECAFF-75-L-Ma-J-V-28,1,1,0,1,1,0,0,20230509,20230707
22DECAFF-75-Mercredi-07,0,0,1,0,0,0,0,20230510,20230705
22DECAFF-75-Samedi-01,0,0,0,0,0,1,0,20230513,20230708
22DECAFF-75-Dimanche-01,0,0,0,0,0,0,1,20230514,20230709
22SEPB-89-Semaine-15,1,1,1,1,1,0,0,20230515,20230517
22SEPB-88-Semaine-04,1,1,1,1,1,0,0,20230522,20230526
22PVSB-88-Semaine-17,1,1,1,1,1,0,0,20230605,20230609
22SEPB-89-Semaine-30,1,1,1,1,1,0,0,20230530,20230602
22SEPTAFF-NUIT-Jeu-Ven-00,0,0,0,1,1,0,0,20230511,20230707
22SEPTAFF-NUIT-Samedi-00,0,0,0,0,0,1,0,20230513,20230708
22SEPB-H-Ma-Me-J-00,0,1,1,1,0,0,0,20230509,20230615
22SEPB-H-Lundi-00,1,0,0,0,0,0,0,20230612,20230612
