stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
23NOV_01,704A,48.5331460858,7.706400901,23 Novembre,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
23NOV_02,704B,48.5331813862,7.7065796032,23 Novembre,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
23NOV_03,704C,48.532710758,7.7041238616,23 Novembre,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
23NOV_04,704D,48.5325721899,7.704266131,23 Novembre,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABATT_01,10A,48.5569846567,7.6530612856,Abattoirs,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABATT_02,10B,48.5568974679,7.6537325084,Abattoirs,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABBAT_01,11A,48.4917859457,7.7159693464,Abbatiale,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABBAT_02,11B,48.4919083759,7.7161312848,Abbatiale,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABEPE_01,12A,48.5454154962,7.7607424726,Abbé de l'Epée,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABEPE_02,12B,48.545544419,7.7611577942,Abbé de l'Epée,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABLEM_01,13A,48.5781506009,7.7245742337,Abbé Lemire,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABLEM_02,13B,48.5781370339,7.7247143536,Abbé Lemire,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACACI_01,14A,48.515883737,7.7109814654,Acacias,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACACI_02,14B,48.5159311959,7.7112191542,Acacias,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACOUE_1,775B,48.5811750733,7.6240577548,Achenheim Ouest,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACOUE_2,775A,48.5813015333,7.624237127,Achenheim Ouest,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACSOL_1,776A,48.5825136322,7.6289480868,Soleil,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACSOL_2,776B,48.5825465791,7.6296685651,Soleil,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AEROP_02,16A,48.5417956485,7.6514141695,Aéroparc,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AEROP_03,16B,48.5419046091,7.6520029217,Aéroparc,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALAIG_01,17A,48.5571029406,7.6461776843,A l'Aigle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALAIG_02,17B,48.5570443729,7.6464278474,A l'Aigle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALEUR_01,19A,48.6045132155,7.7054919066,Allée de l'Euro,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALEUR_02,19B,48.6045937003,7.7057914005,Allée de l'Euro,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUE_01,20A,48.6427183124,7.7538324147,Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUE_02,20B,48.6435497246,7.7536309137,Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUT_01,681D,48.5511932819,7.692940057,Lingolsheim Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUT_02,681E,48.5513591707,7.6924024522,Lingolsheim Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUT_03,681A,48.5515973104,7.692858838,Lingolsheim Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUT_04,681B,48.5514908109,7.6925120013,Lingolsheim Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUT_05,681C,48.551263244,7.6924308241,Lingolsheim Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUT_06,681F,48.5512987932,7.6921816334,Lingolsheim Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUT_08,681G,48.5512756357,7.693259019,Lingolsheim Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALSCH_01,23A,48.4914209419,7.6875484585,Albert Schweitzer,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALSCH_02,23B,48.491251711,7.6890575249,Albert Schweitzer,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALWIN_01,24A,48.583442421,7.7404221959,Alt Winmärik-Vieux Marché aux Vins,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
