route_id,service_id,trip_id,trip_headsign,direction_id,block_id
18-1442,22DECAFF-18-Semaine-00,18333482-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333483-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333484-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333485-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333486-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333487-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333488-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333489-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333490-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333491-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333492-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333493-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333494-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333495-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333496-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333497-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333498-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333499-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333500-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333501-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333502-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333503-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333504-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333505-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333506-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333507-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333508-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333509-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333510-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333511-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333512-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
18-1442,22DECAFF-18-Semaine-00,18333513-22DECAFF-18-Semaine-00,"Rotonde",0,1267269
